datahora,fluxo,es,vagas_ocupadas
2023-03-13 08:15:00,18,1,18
2023-03-13 08:15:00,-1,2,17
2023-03-13 08:30:00,20,1,37
2023-03-13 08:30:00,-10,2,27
2023-03-13 08:45:00,19,1,46
2023-03-13 08:45:00,-14,2,32
2023-03-13 09:00:00,22,1,54
2023-03-13 09:00:00,-18,2,36
2023-03-13 09:15:00,14,1,50
2023-03-13 09:15:00,-24,2,26
2023-03-13 09:30:00,15,1,41
2023-03-13 09:30:00,-20,2,21
2023-03-13 09:45:00,26,1,47
2023-03-13 09:45:00,-20,2,27
2023-03-13 10:00:00,12,1,39
2023-03-13 10:00:00,-11,2,28
2023-03-13 10:15:00,6,1,34
2023-03-13 10:15:00,-19,2,15
2023-03-13 10:30:00,14,1,29
2023-03-13 10:30:00,-8,2,21
2023-03-13 10:45:00,21,1,42
2023-03-13 10:45:00,-17,2,25
2023-03-13 11:00:00,33,1,58
2023-03-13 11:00:00,-12,2,46
2023-03-13 11:15:00,31,1,77
2023-03-13 11:15:00,-25,2,52
2023-03-13 11:30:00,34,1,86
2023-03-13 11:30:00,-33,2,53
2023-03-13 11:45:00,36,1,89
2023-03-13 11:45:00,-32,2,57
2023-03-13 12:00:00,35,1,92
2023-03-13 12:00:00,-30,2,62
2023-03-13 12:15:00,32,1,94
2023-03-13 12:15:00,-49,2,45
2023-03-13 12:30:00,23,1,68
2023-03-13 12:30:00,-25,2,43
2023-03-13 12:45:00,38,1,81
2023-03-13 12:45:00,-24,2,57
2023-03-13 13:00:00,32,1,89
2023-03-13 13:00:00,-29,2,60
2023-03-13 13:15:00,36,1,96
2023-03-13 13:15:00,-40,2,56
2023-03-13 13:30:00,28,1,84
2023-03-13 13:30:00,-29,2,55
2023-03-13 13:45:00,22,1,77
2023-03-13 13:45:00,-30,2,47
2023-03-13 14:00:00,18,1,65
2023-03-13 14:00:00,-28,2,37
2023-03-13 14:15:00,20,1,57
2023-03-13 14:15:00,-23,2,34
2023-03-13 14:30:00,26,1,60
2023-03-13 14:30:00,-25,2,35
2023-03-13 14:45:00,19,1,54
2023-03-13 14:45:00,-11,2,43
2023-03-13 15:00:00,13,1,56
2023-03-13 15:00:00,-26,2,30
2023-03-13 15:15:00,16,1,46
2023-03-13 15:15:00,-20,2,26
2023-03-13 15:30:00,13,1,39
2023-03-13 15:30:00,-12,2,27
2023-03-13 15:45:00,22,1,49
2023-03-13 15:45:00,-19,2,30
2023-03-13 16:00:00,24,1,54
2023-03-13 16:00:00,-19,2,35
2023-03-13 16:15:00,30,1,65
2023-03-13 16:15:00,-19,2,46
2023-03-13 16:30:00,25,1,71
2023-03-13 16:30:00,-25,2,46
2023-03-13 16:45:00,32,1,78
2023-03-13 16:45:00,-30,2,48
2023-03-13 17:00:00,28,1,76
2023-03-13 17:00:00,-21,2,55
2023-03-13 17:15:00,23,1,78
2023-03-13 17:15:00,-37,2,41
2023-03-13 17:30:00,31,1,72
2023-03-13 17:30:00,-20,2,52
2023-03-13 17:45:00,33,1,85
2023-03-13 17:45:00,-35,2,50
2023-03-13 18:00:00,35,1,85
2023-03-13 18:00:00,-22,2,63
2023-03-13 18:15:00,21,1,84
2023-03-13 18:15:00,-34,2,50
2023-03-13 18:30:00,31,1,81
2023-03-13 18:30:00,-34,2,47
2023-03-13 18:45:00,29,1,76
2023-03-13 18:45:00,-22,2,54
2023-03-13 19:00:00,24,1,78
2023-03-13 19:00:00,-34,2,44
2023-03-13 19:15:00,20,1,64
2023-03-13 19:15:00,-31,2,33
2023-03-13 19:30:00,17,1,50
2023-03-13 19:30:00,-20,2,30
2023-03-13 19:45:00,16,1,46
2023-03-13 19:45:00,-15,2,31
2023-03-13 20:00:00,20,1,51
2023-03-13 20:00:00,-21,2,30
2023-03-13 20:15:00,18,1,48
2023-03-13 20:15:00,-18,2,30
2023-03-13 20:30:00,19,1,49
2023-03-13 20:30:00,-18,2,31
2023-03-13 20:45:00,10,1,41
2023-03-13 20:45:00,-14,2,27
2023-03-13 21:00:00,19,1,46
2023-03-13 21:00:00,-18,2,28
2023-03-13 21:15:00,13,1,41
2023-03-13 21:15:00,-16,2,25
2023-03-13 21:30:00,-11,2,14
2023-03-13 21:45:00,-11,2,3
2023-03-13 22:00:00,-3,2,0
2023-03-14 08:15:00,22,1,22
2023-03-14 08:30:00,18,1,40
2023-03-14 08:30:00,-16,2,24
2023-03-14 08:45:00,19,1,43
2023-03-14 08:45:00,-14,2,29
2023-03-14 09:00:00,19,1,48
2023-03-14 09:00:00,-16,2,32
2023-03-14 09:15:00,14,1,46
2023-03-14 09:15:00,-21,2,25
2023-03-14 09:30:00,20,1,45
2023-03-14 09:30:00,-18,2,27
2023-03-14 09:45:00,15,1,42
2023-03-14 09:45:00,-14,2,28
2023-03-14 10:00:00,29,1,57
2023-03-14 10:00:00,-21,2,36
2023-03-14 10:15:00,19,1,55
2023-03-14 10:15:00,-18,2,37
2023-03-14 10:30:00,24,1,61
2023-03-14 10:30:00,-27,2,34
2023-03-14 10:45:00,26,1,60
2023-03-14 10:45:00,-14,2,46
2023-03-14 11:00:00,26,1,72
2023-03-14 11:00:00,-30,2,42
2023-03-14 11:15:00,37,1,79
2023-03-14 11:15:00,-19,2,60
2023-03-14 11:30:00,30,1,90
2023-03-14 11:30:00,-39,2,51
2023-03-14 11:45:00,43,1,94
2023-03-14 11:45:00,-38,2,56
2023-03-14 12:00:00,27,1,83
2023-03-14 12:00:00,-25,2,58
2023-03-14 12:15:00,37,1,95
2023-03-14 12:15:00,-42,2,53
2023-03-14 12:30:00,29,1,82
2023-03-14 12:30:00,-31,2,51
2023-03-14 12:45:00,40,1,91
2023-03-14 12:45:00,-29,2,62
2023-03-14 13:00:00,31,1,93
2023-03-14 13:00:00,-36,2,57
2023-03-14 13:15:00,25,1,82
2023-03-14 13:15:00,-31,2,51
2023-03-14 13:30:00,40,1,91
2023-03-14 13:30:00,-28,2,63
2023-03-14 13:45:00,35,1,98
2023-03-14 13:45:00,-36,2,62
2023-03-14 14:00:00,45,1,107
2023-03-14 14:00:00,-44,2,63
2023-03-14 14:15:00,32,1,95
2023-03-14 14:15:00,-33,2,62
2023-03-14 14:30:00,25,1,87
2023-03-14 14:30:00,-40,2,47
2023-03-14 14:45:00,32,1,79
2023-03-14 14:45:00,-26,2,53
2023-03-14 15:00:00,36,1,89
2023-03-14 15:00:00,-27,2,62
2023-03-14 15:15:00,42,1,104
2023-03-14 15:15:00,-39,2,65
2023-03-14 15:30:00,38,1,103
2023-03-14 15:30:00,-39,2,64
2023-03-14 15:45:00,30,1,94
2023-03-14 15:45:00,-37,2,57
2023-03-14 16:00:00,27,1,84
2023-03-14 16:00:00,-36,2,48
2023-03-14 16:15:00,41,1,89
2023-03-14 16:15:00,-35,2,54
2023-03-14 16:30:00,38,1,92
2023-03-14 16:30:00,-35,2,57
2023-03-14 16:45:00,33,1,90
2023-03-14 16:45:00,-25,2,65
2023-03-14 17:00:00,33,1,98
2023-03-14 17:00:00,-42,2,56
2023-03-14 17:15:00,30,1,86
2023-03-14 17:15:00,-31,2,55
2023-03-14 17:30:00,36,1,91
2023-03-14 17:30:00,-37,2,54
2023-03-14 17:45:00,21,1,75
2023-03-14 17:45:00,-35,2,40
2023-03-14 18:00:00,29,1,69
2023-03-14 18:00:00,-25,2,44
2023-03-14 18:15:00,26,1,70
2023-03-14 18:15:00,-29,2,41
2023-03-14 18:30:00,23,1,64
2023-03-14 18:30:00,-31,2,33
2023-03-14 18:45:00,26,1,59
2023-03-14 18:45:00,-15,2,44
2023-03-14 19:00:00,20,1,64
2023-03-14 19:00:00,-24,2,40
2023-03-14 19:15:00,22,1,62
2023-03-14 19:15:00,-25,2,37
2023-03-14 19:30:00,16,1,53
2023-03-14 19:30:00,-15,2,38
2023-03-14 19:45:00,21,1,59
2023-03-14 19:45:00,-18,2,41
2023-03-14 20:00:00,21,1,62
2023-03-14 20:00:00,-25,2,37
2023-03-14 20:15:00,16,1,53
2023-03-14 20:15:00,-25,2,28
2023-03-14 20:30:00,22,1,50
2023-03-14 20:30:00,-15,2,35
2023-03-14 20:45:00,19,1,54
2023-03-14 20:45:00,-20,2,34
2023-03-14 21:00:00,16,1,50
2023-03-14 21:00:00,-16,2,34
2023-03-14 21:15:00,14,1,48
2023-03-14 21:15:00,-16,2,32
2023-03-14 21:30:00,-24,2,8
2023-03-14 21:45:00,-7,2,1
2023-03-14 22:00:00,-1,2,0
2023-03-15 08:15:00,20,1,20
2023-03-15 08:30:00,16,1,36
2023-03-15 08:30:00,-5,2,31
2023-03-15 08:45:00,18,1,49
2023-03-15 08:45:00,-14,2,35
2023-03-15 09:00:00,12,1,47
2023-03-15 09:00:00,-22,2,25
2023-03-15 09:15:00,25,1,50
2023-03-15 09:15:00,-16,2,34
2023-03-15 09:30:00,28,1,62
2023-03-15 09:30:00,-18,2,44
2023-03-15 09:45:00,26,1,70
2023-03-15 09:45:00,-21,2,49
2023-03-15 10:00:00,27,1,76
2023-03-15 10:00:00,-34,2,42
2023-03-15 10:15:00,15,1,57
2023-03-15 10:15:00,-27,2,30
2023-03-15 10:30:00,18,1,48
2023-03-15 10:30:00,-20,2,28
2023-03-15 10:45:00,19,1,47
2023-03-15 10:45:00,-20,2,27
2023-03-15 11:00:00,31,1,58
2023-03-15 11:00:00,-11,2,47
2023-03-15 11:15:00,25,1,72
2023-03-15 11:15:00,-23,2,49
2023-03-15 11:30:00,35,1,84
2023-03-15 11:30:00,-31,2,53
2023-03-15 11:45:00,29,1,82
2023-03-15 11:45:00,-37,2,45
2023-03-15 12:00:00,60,1,105
2023-03-15 12:00:00,-21,2,84
2023-03-15 12:15:00,65,1,149
2023-03-15 12:15:00,-44,2,105
2023-03-15 12:30:00,61,1,166
2023-03-15 12:30:00,-64,2,102
2023-03-15 12:45:00,57,1,159
2023-03-15 12:45:00,-67,2,92
2023-03-15 13:00:00,27,1,119
2023-03-15 13:00:00,-54,2,65
2023-03-15 13:15:00,32,1,97
2023-03-15 13:15:00,-47,2,50
2023-03-15 13:30:00,27,1,77
2023-03-15 13:30:00,-32,2,45
2023-03-15 13:45:00,22,1,67
2023-03-15 13:45:00,-28,2,39
2023-03-15 14:00:00,17,1,56
2023-03-15 14:00:00,-25,2,31
2023-03-15 14:15:00,23,1,54
2023-03-15 14:15:00,-22,2,32
2023-03-15 14:30:00,15,1,47
2023-03-15 14:30:00,-12,2,35
2023-03-15 14:45:00,16,1,51
2023-03-15 14:45:00,-22,2,29
2023-03-15 15:00:00,22,1,51
2023-03-15 15:00:00,-18,2,33
2023-03-15 15:15:00,26,1,59
2023-03-15 15:15:00,-16,2,43
2023-03-15 15:30:00,20,1,63
2023-03-15 15:30:00,-25,2,38
2023-03-15 15:45:00,27,1,65
2023-03-15 15:45:00,-24,2,41
2023-03-15 16:00:00,27,1,68
2023-03-15 16:00:00,-23,2,45
2023-03-15 16:15:00,33,1,78
2023-03-15 16:15:00,-26,2,52
2023-03-15 16:30:00,31,1,83
2023-03-15 16:30:00,-29,2,54
2023-03-15 16:45:00,36,1,90
2023-03-15 16:45:00,-34,2,56
2023-03-15 17:00:00,30,1,86
2023-03-15 17:00:00,-32,2,54
2023-03-15 17:15:00,22,1,76
2023-03-15 17:15:00,-32,2,44
2023-03-15 17:30:00,38,1,82
2023-03-15 17:30:00,-33,2,49
2023-03-15 17:45:00,27,1,76
2023-03-15 17:45:00,-24,2,52
2023-03-15 18:00:00,29,1,81
2023-03-15 18:00:00,-35,2,46
2023-03-15 18:15:00,27,1,73
2023-03-15 18:15:00,-31,2,42
2023-03-15 18:30:00,32,1,74
2023-03-15 18:30:00,-26,2,48
2023-03-15 18:45:00,19,1,67
2023-03-15 18:45:00,-26,2,41
2023-03-15 19:00:00,29,1,70
2023-03-15 19:00:00,-27,2,43
2023-03-15 19:15:00,20,1,63
2023-03-15 19:15:00,-22,2,41
2023-03-15 19:30:00,17,1,58
2023-03-15 19:30:00,-26,2,32
2023-03-15 19:45:00,21,1,53
2023-03-15 19:45:00,-24,2,29
2023-03-15 20:00:00,20,1,49
2023-03-15 20:00:00,-21,2,28
2023-03-15 20:15:00,13,1,41
2023-03-15 20:15:00,-12,2,29
2023-03-15 20:30:00,23,1,52
2023-03-15 20:30:00,-22,2,30
2023-03-15 20:45:00,19,1,49
2023-03-15 20:45:00,-17,2,32
2023-03-15 21:00:00,16,1,48
2023-03-15 21:00:00,-17,2,31
2023-03-15 21:15:00,23,1,54
2023-03-15 21:15:00,-15,2,39
2023-03-15 21:30:00,-21,2,18
2023-03-15 21:45:00,-16,2,2
2023-03-15 22:00:00,-1,2,1
2023-03-15 22:15:00,-1,2,0
2023-03-15 23:15:00,1,1,1
2023-03-15 23:30:00,-1,2,0
2023-03-16 08:15:00,13,1,13
2023-03-16 08:15:00,-1,2,12
2023-03-16 08:30:00,26,1,38
2023-03-16 08:30:00,-5,2,33
2023-03-16 08:45:00,19,1,52
2023-03-16 08:45:00,-17,2,35
2023-03-16 09:00:00,20,1,55
2023-03-16 09:00:00,-16,2,39
2023-03-16 09:15:00,15,1,54
2023-03-16 09:15:00,-25,2,29
2023-03-16 09:30:00,16,1,45
2023-03-16 09:30:00,-15,2,30
2023-03-16 09:45:00,22,1,52
2023-03-16 09:45:00,-22,2,30
2023-03-16 10:00:00,16,1,46
2023-03-16 10:00:00,-17,2,29
2023-03-16 10:15:00,24,1,53
2023-03-16 10:15:00,-19,2,34
2023-03-16 10:30:00,18,1,52
2023-03-16 10:30:00,-16,2,36
2023-03-16 10:45:00,34,1,70
2023-03-16 10:45:00,-27,2,43
2023-03-16 11:00:00,23,1,66
2023-03-16 11:00:00,-27,2,39
2023-03-16 11:15:00,31,1,70
2023-03-16 11:15:00,-21,2,49
2023-03-16 11:30:00,41,1,90
2023-03-16 11:30:00,-34,2,56
2023-03-16 11:45:00,27,1,83
2023-03-16 11:45:00,-28,2,55
2023-03-16 12:00:00,26,1,81
2023-03-16 12:00:00,-37,2,44
2023-03-16 12:15:00,34,1,78
2023-03-16 12:15:00,-28,2,50
2023-03-16 12:30:00,39,1,89
2023-03-16 12:30:00,-31,2,58
2023-03-16 12:45:00,45,1,103
2023-03-16 12:45:00,-34,2,69
2023-03-16 13:00:00,40,1,109
2023-03-16 13:00:00,-39,2,70
2023-03-16 13:15:00,39,1,109
2023-03-16 13:15:00,-36,2,73
2023-03-16 13:30:00,31,1,104
2023-03-16 13:30:00,-41,2,63
2023-03-16 13:45:00,35,1,98
2023-03-16 13:45:00,-46,2,52
2023-03-16 14:00:00,28,1,80
2023-03-16 14:00:00,-22,2,58
2023-03-16 14:15:00,34,1,92
2023-03-16 14:15:00,-34,2,58
2023-03-16 14:30:00,28,1,86
2023-03-16 14:30:00,-33,2,53
2023-03-16 14:45:00,30,1,83
