datahora,fluxo,es,vagas_ocupadas
2023-03-16 14:45:00,-31,2,52
2023-03-16 15:00:00,29,1,81
2023-03-16 15:00:00,-30,2,51
2023-03-16 15:15:00,26,1,77
2023-03-16 15:15:00,-28,2,49
2023-03-16 15:30:00,23,1,72
2023-03-16 15:30:00,-34,2,38
2023-03-16 15:45:00,17,1,55
2023-03-16 15:45:00,-25,2,30
2023-03-16 16:00:00,18,1,48
2023-03-16 16:00:00,-16,2,32
2023-03-16 16:15:00,19,1,51
2023-03-16 16:15:00,-18,2,33
2023-03-16 16:30:00,20,1,53
2023-03-16 16:30:00,-22,2,31
2023-03-16 16:45:00,17,1,48
2023-03-16 16:45:00,-14,2,34
2023-03-16 17:00:00,21,1,55
2023-03-16 17:00:00,-25,2,30
2023-03-16 17:15:00,17,1,47
2023-03-16 17:15:00,-20,2,27
2023-03-16 17:30:00,16,1,43
2023-03-16 17:30:00,-10,2,33
2023-03-16 17:45:00,18,1,51
2023-03-16 17:45:00,-22,2,29
2023-03-16 18:00:00,26,1,55
2023-03-16 18:00:00,-16,2,39
2023-03-16 18:15:00,23,1,62
2023-03-16 18:15:00,-27,2,35
2023-03-16 18:30:00,19,1,54
2023-03-16 18:30:00,-24,2,30
2023-03-16 18:45:00,15,1,45
2023-03-16 18:45:00,-17,2,28
2023-03-16 19:00:00,32,1,60
2023-03-16 19:00:00,-23,2,37
2023-03-16 19:15:00,19,1,56
2023-03-16 19:15:00,-26,2,30
2023-03-16 19:30:00,24,1,54
2023-03-16 19:30:00,-17,2,37
2023-03-16 19:45:00,13,1,50
2023-03-16 19:45:00,-20,2,30
2023-03-16 20:00:00,15,1,45
2023-03-16 20:00:00,-19,2,26
2023-03-16 20:15:00,18,1,44
2023-03-16 20:15:00,-20,2,24
2023-03-16 20:30:00,13,1,37
2023-03-16 20:30:00,-16,2,21
2023-03-16 20:45:00,15,1,36
2023-03-16 20:45:00,-14,2,22
2023-03-16 21:00:00,19,1,41
2023-03-16 21:00:00,-13,2,28
2023-03-16 21:15:00,16,1,44
2023-03-16 21:15:00,-16,2,28
2023-03-16 21:30:00,-17,2,11
2023-03-16 21:45:00,-11,2,0
2023-03-17 08:15:00,19,1,19
2023-03-17 08:30:00,22,1,41
2023-03-17 08:30:00,-11,2,30
2023-03-17 08:45:00,27,1,57
2023-03-17 08:45:00,-11,2,46
2023-03-17 09:00:00,22,1,68
2023-03-17 09:00:00,-27,2,41
2023-03-17 09:15:00,25,1,66
2023-03-17 09:15:00,-28,2,38
2023-03-17 09:30:00,20,1,58
2023-03-17 09:30:00,-18,2,40
2023-03-17 09:45:00,21,1,61
2023-03-17 09:45:00,-22,2,39
2023-03-17 10:00:00,19,1,58
2023-03-17 10:00:00,-28,2,30
2023-03-17 10:15:00,22,1,52
2023-03-17 10:15:00,-16,2,36
2023-03-17 10:30:00,28,1,64
2023-03-17 10:30:00,-22,2,42
2023-03-17 10:45:00,32,1,74
2023-03-17 10:45:00,-25,2,49
2023-03-17 11:00:00,27,1,76
2023-03-17 11:00:00,-27,2,49
2023-03-17 11:15:00,30,1,79
2023-03-17 11:15:00,-35,2,44
2023-03-17 11:30:00,34,1,78
2023-03-17 11:30:00,-25,2,53
2023-03-17 11:45:00,44,1,97
2023-03-17 11:45:00,-28,2,69
2023-03-17 12:00:00,31,1,100
2023-03-17 12:00:00,-43,2,57
2023-03-17 12:15:00,21,1,78
2023-03-17 12:15:00,-32,2,46
2023-03-17 12:30:00,30,1,76
2023-03-17 12:30:00,-34,2,42
2023-03-17 12:45:00,29,1,71
2023-03-17 12:45:00,-19,2,52
2023-03-17 13:00:00,37,1,89
2023-03-17 13:00:00,-34,2,55
2023-03-17 13:15:00,30,1,85
2023-03-17 13:15:00,-36,2,49
2023-03-17 13:30:00,39,1,88
2023-03-17 13:30:00,-29,2,59
2023-03-17 13:45:00,33,1,92
2023-03-17 13:45:00,-39,2,53
2023-03-17 14:00:00,30,1,83
2023-03-17 14:00:00,-31,2,52
2023-03-17 14:15:00,29,1,81
2023-03-17 14:15:00,-31,2,50
2023-03-17 14:30:00,28,1,78
2023-03-17 14:30:00,-22,2,56
2023-03-17 14:45:00,33,1,89
2023-03-17 14:45:00,-32,2,57
2023-03-17 15:00:00,23,1,80
2023-03-17 15:00:00,-32,2,48
2023-03-17 15:15:00,16,1,64
2023-03-17 15:15:00,-29,2,35
2023-03-17 15:30:00,22,1,57
2023-03-17 15:30:00,-21,2,36
2023-03-17 15:45:00,15,1,51
2023-03-17 15:45:00,-21,2,30
2023-03-17 16:00:00,18,1,48
2023-03-17 16:00:00,-25,2,23
2023-03-17 16:15:00,22,1,45
2023-03-17 16:15:00,-14,2,31
2023-03-17 16:30:00,21,1,52
2023-03-17 16:30:00,-14,2,38
2023-03-17 16:45:00,22,1,60
2023-03-17 16:45:00,-22,2,38
2023-03-17 17:00:00,29,1,67
2023-03-17 17:00:00,-20,2,47
2023-03-17 17:15:00,19,1,66
2023-03-17 17:15:00,-30,2,36
2023-03-17 17:30:00,24,1,60
2023-03-17 17:30:00,-23,2,37
2023-03-17 17:45:00,21,1,58
2023-03-17 17:45:00,-20,2,38
2023-03-17 18:00:00,29,1,67
2023-03-17 18:00:00,-21,2,46
2023-03-17 18:15:00,22,1,68
2023-03-17 18:15:00,-23,2,45
2023-03-17 18:30:00,24,1,69
2023-03-17 18:30:00,-32,2,37
2023-03-17 18:45:00,27,1,64
2023-03-17 18:45:00,-21,2,43
2023-03-17 19:00:00,32,1,75
2023-03-17 19:00:00,-23,2,52
2023-03-17 19:15:00,29,1,81
2023-03-17 19:15:00,-33,2,48
2023-03-17 19:30:00,18,1,66
2023-03-17 19:30:00,-23,2,43
2023-03-17 19:45:00,22,1,65
2023-03-17 19:45:00,-23,2,42
2023-03-17 20:00:00,22,1,64
2023-03-17 20:00:00,-26,2,38
2023-03-17 20:15:00,24,1,62
2023-03-17 20:15:00,-28,2,34
2023-03-17 20:30:00,23,1,57
2023-03-17 20:30:00,-19,2,38
2023-03-17 20:45:00,21,1,59
2023-03-17 20:45:00,-19,2,40
2023-03-17 21:00:00,14,1,54
2023-03-17 21:00:00,-25,2,29
2023-03-17 21:15:00,29,1,58
2023-03-17 21:15:00,-21,2,37
2023-03-17 21:30:00,-19,2,18
2023-03-17 21:45:00,-16,2,2
2023-03-17 22:00:00,-2,2,0
2023-03-18 07:45:00,1,1,1
2023-03-18 08:00:00,1,1,2
2023-03-18 08:15:00,25,1,27
2023-03-18 08:15:00,-2,2,25
2023-03-18 08:30:00,37,1,62
2023-03-18 08:30:00,-16,2,46
2023-03-18 08:45:00,26,1,72
2023-03-18 08:45:00,-21,2,51
2023-03-18 09:00:00,24,1,75
2023-03-18 09:00:00,-36,2,39
2023-03-18 09:15:00,34,1,73
2023-03-18 09:15:00,-26,2,47
2023-03-18 09:30:00,39,1,86
2023-03-18 09:30:00,-28,2,58
2023-03-18 09:45:00,44,1,102
2023-03-18 09:45:00,-33,2,69
2023-03-18 10:00:00,38,1,107
2023-03-18 10:00:00,-35,2,72
2023-03-18 10:15:00,46,1,118
2023-03-18 10:15:00,-47,2,71
2023-03-18 10:30:00,43,1,114
2023-03-18 10:30:00,-46,2,68
2023-03-18 10:45:00,49,1,117
2023-03-18 10:45:00,-36,2,81
2023-03-18 11:00:00,50,1,131
2023-03-18 11:00:00,-48,2,83
2023-03-18 11:15:00,45,1,128
2023-03-18 11:15:00,-50,2,78
2023-03-18 11:30:00,57,1,135
2023-03-18 11:30:00,-45,2,90
2023-03-18 11:45:00,46,1,136
2023-03-18 11:45:00,-49,2,87
2023-03-18 12:00:00,39,1,126
2023-03-18 12:00:00,-58,2,68
2023-03-18 12:15:00,39,1,107
2023-03-18 12:15:00,-40,2,67
2023-03-18 12:30:00,47,1,114
2023-03-18 12:30:00,-41,2,73
2023-03-18 12:45:00,56,1,129
2023-03-18 12:45:00,-44,2,85
2023-03-18 13:00:00,36,1,121
2023-03-18 13:00:00,-53,2,68
2023-03-18 13:15:00,36,1,104
2023-03-18 13:15:00,-38,2,66
2023-03-18 13:30:00,32,1,98
2023-03-18 13:30:00,-42,2,56
2023-03-18 13:45:00,43,1,99
2023-03-18 13:45:00,-32,2,67
2023-03-18 14:00:00,29,1,96
2023-03-18 14:00:00,-38,2,58
2023-03-18 14:15:00,42,1,100
2023-03-18 14:15:00,-39,2,61
2023-03-18 14:30:00,30,1,91
2023-03-18 14:30:00,-34,2,57
2023-03-18 14:45:00,33,1,90
2023-03-18 14:45:00,-37,2,53
2023-03-18 15:00:00,37,1,90
2023-03-18 15:00:00,-27,2,63
2023-03-18 15:15:00,32,1,95
2023-03-18 15:15:00,-41,2,54
2023-03-18 15:30:00,20,1,74
2023-03-18 15:30:00,-28,2,46
2023-03-18 15:45:00,28,1,74
2023-03-18 15:45:00,-25,2,49
2023-03-18 16:00:00,27,1,76
2023-03-18 16:00:00,-30,2,46
2023-03-18 16:15:00,38,1,84
2023-03-18 16:15:00,-27,2,57
2023-03-18 16:30:00,46,1,103
2023-03-18 16:30:00,-32,2,71
2023-03-18 16:45:00,52,1,123
2023-03-18 16:45:00,-31,2,92
2023-03-18 17:00:00,43,1,135
2023-03-18 17:00:00,-52,2,83
2023-03-18 17:15:00,44,1,127
2023-03-18 17:15:00,-50,2,77
2023-03-18 17:30:00,40,1,117
2023-03-18 17:30:00,-46,2,71
2023-03-18 17:45:00,41,1,112
2023-03-18 17:45:00,-45,2,67
2023-03-18 18:00:00,42,1,109
2023-03-18 18:00:00,-37,2,72
2023-03-18 18:15:00,34,1,106
2023-03-18 18:15:00,-42,2,64
2023-03-18 18:30:00,39,1,103
2023-03-18 18:30:00,-41,2,62
2023-03-18 18:45:00,44,1,106
2023-03-18 18:45:00,-40,2,66
2023-03-18 19:00:00,38,1,104
2023-03-18 19:00:00,-39,2,65
2023-03-18 19:15:00,33,1,98
2023-03-18 19:15:00,-42,2,56
2023-03-18 19:30:00,34,1,90
2023-03-18 19:30:00,-33,2,57
2023-03-18 19:45:00,31,1,88
2023-03-18 19:45:00,-36,2,52
2023-03-18 20:00:00,31,1,83
2023-03-18 20:00:00,-27,2,56
2023-03-18 20:15:00,21,1,77
2023-03-18 20:15:00,-32,2,45
2023-03-18 20:30:00,40,1,85
2023-03-18 20:30:00,-30,2,55
2023-03-18 20:45:00,33,1,88
2023-03-18 20:45:00,-32,2,56
2023-03-18 21:00:00,27,1,83
2023-03-18 21:00:00,-31,2,52
2023-03-18 21:15:00,31,1,83
2023-03-18 21:15:00,-34,2,49
2023-03-18 21:30:00,-25,2,24
2023-03-18 21:45:00,-21,2,3
2023-03-18 22:00:00,-3,2,0
2023-03-19 08:15:00,14,1,14
2023-03-19 08:30:00,15,1,29
2023-03-19 08:30:00,-4,2,25
2023-03-19 08:45:00,17,1,42
2023-03-19 08:45:00,-15,2,27
2023-03-19 09:00:00,17,1,44
2023-03-19 09:00:00,-15,2,29
2023-03-19 09:15:00,17,1,46
2023-03-19 09:15:00,-12,2,34
2023-03-19 09:30:00,17,1,51
2023-03-19 09:30:00,-20,2,31
2023-03-19 09:45:00,14,1,45
2023-03-19 09:45:00,-19,2,26
2023-03-19 10:00:00,19,1,45
2023-03-19 10:00:00,-13,2,32
2023-03-19 10:15:00,18,1,50
2023-03-19 10:15:00,-13,2,37
2023-03-19 10:30:00,16,1,53
2023-03-19 10:30:00,-22,2,31
2023-03-19 10:45:00,19,1,50
2023-03-19 10:45:00,-22,2,28
2023-03-19 11:00:00,17,1,45
2023-03-19 11:00:00,-13,2,32
2023-03-19 11:15:00,11,1,43
2023-03-19 11:15:00,-23,2,20
2023-03-19 11:30:00,22,1,42
2023-03-19 11:30:00,-14,2,28
2023-03-19 11:45:00,26,1,54
2023-03-19 11:45:00,-23,2,31
2023-03-19 12:00:00,19,1,50
2023-03-19 12:00:00,-21,2,29
2023-03-19 12:15:00,22,1,51
2023-03-19 12:15:00,-17,2,34
2023-03-19 12:30:00,27,1,61
2023-03-19 12:30:00,-17,2,44
2023-03-19 12:45:00,21,1,65
2023-03-19 12:45:00,-27,2,38
2023-03-19 13:00:00,30,1,68
2023-03-19 13:00:00,-23,2,45
2023-03-19 13:15:00,26,1,71
2023-03-19 13:15:00,-31,2,40
2023-03-19 13:30:00,19,1,59
2023-03-19 13:30:00,-27,2,32
2023-03-19 13:45:00,25,1,57
2023-03-19 13:45:00,-18,2,39
2023-03-19 14:00:00,31,1,70
2023-03-19 14:00:00,-26,2,44
2023-03-19 14:15:00,16,1,60
2023-03-19 14:15:00,-31,2,29
2023-03-19 14:30:00,27,1,56
2023-03-19 14:30:00,-16,2,40
2023-03-19 14:45:00,14,1,54
2023-03-19 14:45:00,-19,2,35
2023-03-19 15:00:00,25,1,60
2023-03-19 15:00:00,-25,2,35
2023-03-19 15:15:00,15,1,50
2023-03-19 15:15:00,-16,2,34
2023-03-19 15:30:00,23,1,57
2023-03-19 15:30:00,-18,2,39
2023-03-19 15:45:00,18,1,57
2023-03-19 15:45:00,-20,2,37
2023-03-19 16:00:00,15,1,52
2023-03-19 16:00:00,-18,2,34
2023-03-19 16:15:00,17,1,51
2023-03-19 16:15:00,-19,2,32
2023-03-19 16:30:00,15,1,47
2023-03-19 16:30:00,-15,2,32
2023-03-19 16:45:00,16,1,48
2023-03-19 16:45:00,-19,2,29
2023-03-19 17:00:00,15,1,44
2023-03-19 17:00:00,-19,2,25
2023-03-19 17:15:00,13,1,38
2023-03-19 17:15:00,-16,2,22
2023-03-19 17:30:00,14,1,36
2023-03-19 17:30:00,-14,2,22
2023-03-19 17:45:00,11,1,33
2023-03-19 17:45:00,-12,2,21
2023-03-19 18:00:00,12,1,33
2023-03-19 18:00:00,-12,2,21
2023-03-19 18:15:00,15,1,36
2023-03-19 18:15:00,-8,2,28
2023-03-19 18:30:00,17,1,45
2023-03-19 18:30:00,-17,2,28
2023-03-19 18:45:00,15,1,43
2023-03-19 18:45:00,-16,2,27
2023-03-19 19:00:00,14,1,41
2023-03-19 19:00:00,-14,2,27
2023-03-19 19:15:00,11,1,38
2023-03-19 19:15:00,-15,2,23
2023-03-19 19:30:00,18,1,41
2023-03-19 19:30:00,-11,2,30
2023-03-19 19:45:00,12,1,42
2023-03-19 19:45:00,-21,2,21
2023-03-19 20:00:00,14,1,35
2023-03-19 20:00:00,-12,2,23
2023-03-19 20:15:00,12,1,35
2023-03-19 20:15:00,-17,2,18
2023-03-19 20:30:00,14,1,32
2023-03-19 20:30:00,-7,2,25
2023-03-19 20:45:00,12,1,37
2023-03-19 20:45:00,-17,2,20
2023-03-19 21:00:00,15,1,35
2023-03-19 21:00:00,-9,2,26
2023-03-19 21:15:00,7,1,33
2023-03-19 21:15:00,-14,2,19
2023-03-19 21:30:00,-9,2,10
2023-03-19 21:45:00,-9,2,1
2023-03-19 22:00:00,-1,2,0
